COL1,COL2,SMILES
,b8,COc1cccc(CNc2nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)nc(C3CCCCC3)n2)c1
,B9,COc1cccc(CNc2nc(CCC(C)C)nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)n2)c1
,B10,COc1cccc(CNc2nc(CCc3ccccn3)nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)n2)c1
,B11,COc1cccc(CNc2nc(CCc3ccccc3)nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)n2)c1
,C2,CCCc1nc(NCCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)nc(NCc2ccc(OC)cc2)n1
,C3,COc1ccc(CNc2nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)nc(C(C)C)n2)cc1
,C4,CCCCCCc1nc(NCCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)nc(NCc2ccc(OC)cc2)n1
,C5,COc1ccc(CNc2nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)nc(C3CCC(C)CC3)n2)cc1
,C6,COc1ccc(CNc2nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)nc(C3CCCCC3C)n2)cc1
,C7,COc1ccc(CNc2nc(CC3CCCCC3)nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)n2)cc1
,C8,COc1ccc(CNc2nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)nc(C3CCCCC3)n2)cc1
,C9,COc1ccc(CNc2nc(CCC(C)C)nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)n2)cc1
,C10,COc1ccc(CNc2nc(CCc3ccccn3)nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)n2)cc1
,C11,COc1ccc(CNc2nc(CCc3ccccc3)nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)n2)cc1
,D2,CCCc1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)n1
,D3,CC(C)c1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)n1
,D4,CCCCCCc1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)n1
,D5,CC1CCC(c2nc(COc3ccc(CCN)cc3)nc(NCCCCCCNS(=O)(=O)c3cccc4c(N(C)C)cccc34)n2)CC1
,D6,CC1CCCCC1c1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)n1
,D7,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCNc3nc(COc4ccc(CCN)cc4)nc(CC4CCCCC4)n3)cccc12
,D8,CN(C)c1cccc2c(S(=O)(=O)NCCCCCCNc3nc(COc4ccc(CCN)cc4)nc(C4CCCCC4)n3)cccc12
,D9,CC(C)CCc1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNS(=O)(=O)c2cccc3c(N(C)C)cccc23)n1
